date,product,price,temperature_2m_mean,precipitation_sum,dow,month,price_lag_1,price_lag_7,price_lag_14,price_lag_28,price_roll7_mean,target_t_plus_7
2022-01-29,tomate,845.464871341284,19.7,0.0,5,1,846.8339140461434,849.8747493302027,842.0735492403949,800.0,848.9826924939518,829.9236072051979
2022-01-30,tomate,843.8639636143533,19.5,0.0,6,1,845.464871341284,849.9999900066684,843.8942750347369,803.5683924170039,848.3527099241064,826.9885091200322
2022-01-31,tomate,842.0393552897625,19.3,0.0,0,1,843.8639636143533,849.8702371365904,845.4911456470562,807.1185864896132,847.4761347252044,823.9157730942284
2022-02-01,tomate,840.0003516363262,19.8,3.4,1,2,842.0393552897625,849.486152442991,846.8560172417091,810.6324766826592,846.3574373185146,820.7210696880547
2022-02-02,tomate,837.7573513115829,18.8,0.1,2,2,840.0003516363262,848.849694708626,847.9819291483343,814.0921426061105,845.0023229175624,817.4206914798015
2022-02-03,tomate,835.3217933299729,19.5,1.8,3,2,837.7573513115829,847.964109786442,848.8631393603808,817.4799404067671,843.4177024322705,814.0314699757179
2022-02-04,tomate,832.7060987253298,19.8,0.0,4,2,835.3217933299729,846.8339140461434,849.4951538186062,820.7785927496526,841.6116572242037,810.5706897714854
2022-02-05,tomate,829.9236072051979,19.5,0.0,5,2,832.7060987253298,845.464871341284,849.8747493302027,823.9712769302101,839.5933978926588,807.0560004029934
2022-02-06,tomate,826.9885091200322,18.8,0.1,6,2,829.9236072051979,843.8639636143533,849.9999900066684,827.0417106679416,837.3732173017894,803.5053263359657
2022-02-07,tomate,823.9157730942284,19.7,1.2,0,2,826.9885091200322,842.0393552897625,849.8702371365904,829.974235143953,834.9624380883149,799.9367755534811
2022-02-08,tomate,820.7210696880547,19.6,1.1,1,2,823.9157730942284,840.0003516363262,849.486152442991,832.753894858926,832.3733549175244,796.3685472075779
2022-02-09,tomate,817.4206914798015,19.7,0.5,2,2,820.7210696880547,837.7573513115829,848.849694708626,835.366513904249,829.6191717820569,792.8188388059091
2022-02-10,tomate,814.0314699757179,20.2,0.2,3,2,817.4206914798015,835.3217933299729,847.964109786442,837.7987682573366,826.713934663231,789.3057534067837
2022-02-11,tomate,810.5706897714854,20.7,0.9,4,2,814.0314699757179,832.7060987253298,846.8339140461434,840.0382537324376,823.6724598983374,785.8472072958872
2022-02-12,tomate,807.0560004029934,20.0,0.0,5,2,810.5706897714854,829.9236072051979,845.464871341284,842.0735492403949,820.5102586192169,782.460838615519
2022-02-13,tomate,803.5053263359657,19.8,1.1,6,2,807.0560004029934,826.9885091200322,843.8639636143533,843.8942750347369,817.2434576474734,779.163917412325
2022-02-14,tomate,799.9367755534811,20.2,0.5,0,2,803.5053263359657,823.9157730942284,842.0393552897625,845.4911456470562,813.8887172497496,775.9732575622713
2022-02-15,tomate,796.3685472075779,20.1,0.0,1,2,799.9367755534811,820.7210696880547,840.0003516363262,846.8560172417091,810.4631461724999,772.9051310220298
2022-02-16,tomate,792.8188388059091,19.7,0.0,2,2,796.3685472075779,817.4206914798015,837.7573513115829,847.9819291483343,806.9842143895746,769.9751848440825
2022-02-17,tomate,789.3057534067837,19.5,0.0,3,2,792.8188388059091,814.0314699757179,835.3217933299729,848.8631393603808,803.46966400759,767.1983613787578
2022-02-18,tomate,785.8472072958872,20.2,0.0,4,2,789.3057534067837,810.5706897714854,832.7060987253298,849.4951538186062,799.9374187834566,764.5888220701572
2022-02-19,tomate,782.460838615519,19.7,0.0,5,2,785.8472072958872,807.0560004029934,829.9236072051979,849.8747493302027,796.405492715514,762.1598752346035
2022-02-20,tomate,779.163917412325,19.0,0.0,6,2,782.460838615519,803.5053263359657,826.9885091200322,849.9999900066684,792.8918981744462,759.9239081899318
2022-02-21,tomate,775.9732575622713,18.9,0.0,0,2,779.163917412325,799.9367755534811,823.9157730942284,849.8702371365904,789.4145540424977,757.8923240817547
2022-02-22,tomate,772.9051310220298,19.2,0.0,1,2,775.9732575622713,796.3685472075779,820.7210696880547,849.486152442991,785.9911943294676,756.0754837288798
2022-02-23,tomate,769.9751848440825,19.3,0.0,2,2,772.9051310220298,792.8188388059091,817.4206914798015,848.849694708626,782.6392777315322,754.4826527844608
2022-02-24,tomate,767.1983613787578,19.1,0.0,3,2,769.9751848440825,789.3057534067837,814.0314699757179,847.964109786442,779.3758985941283,753.1219544823525
2022-02-25,tomate,764.5888220701572,19.0,0.0,4,2,767.1983613787578,785.8472072958872,810.5706897714854,846.8339140461434,776.2176997329818,752.0003282096584
2022-02-26,tomate,762.1598752346035,18.7,0.0,5,2,764.5888220701572,782.460838615519,807.0560004029934,845.464871341284,773.1807875578776,751.1234941167452
